,Name
1912, Det Kongelige Danske Musikkonservatorium
1913, Det Teologiske Menighetsfakultet
1914, Deutsche Hochschule für Gesundheit und Sport
1915, Deutsche Sporthochschule Köln
1916, Deutsche Universität für Verwaltungswissenschaften Speyer
1917, Deutsch-Kasachische Universität
1918, Dev Sanskriti Vishwavidyalaya
1919, Devi Ahilya Vishwavidyalaya
1920, DeVry University
1921, Dewey International University
1922, Dezhou University
1923, DHA Suffa University
1924, Dhaka International University
1925, Dhaka University of Engineering and Technology
1926, Dharma Drum Institute of Liberal Arts
1927, Dharma Realm Buddhist University
1928, Dharmsinh Desai University
1929, Dhirubhai Ambani Institute of Information and Communication Technology
1930, Dhofar University
1931, Dhonburi Rajabhat University
1932, Dhurakij Pundit University
1933, Diakonia-ammattikorkeakoulu
1934, Diamond Harbour Women's University
1935, Dibrugarh University
1936, Dickinson College
1937, Dickinson State University
1938, Dicle Üniversitesi
1939, Digital Hollywood University
1940, Dili Institute of Technology
1941, Dilla University
1942, Dillard University
1943, Diplomatic Academy of the Ministry of Foreign Affairs of the Kyrgyz Republic
1944, Diplomatische Akademie Wien
1945, Dire Dawa University
1946, DIT University
1947, Divine Word University
1948, Dixie State University
1949, DMI-St. Eugene University
1950, Dnepropetrovsk State University of Internal Affairs
1951, Dnipropetrovsk Medical Academy
1952, Dnipropetrovsk National University
1953, Dnipropetrovsk National University of Railway Transport
1954, Dnipropetrovsk State Agrarian and Economic University
1955, Dniprovsk State Technical University
1956, Doane University
1957, DOBA Fakultet
1958, Dogu Akdeniz Üniversitesi
1959, Dogus Üniversitesi
1960, Doha Institute for Graduate Studies
1961, Doho University
1962, Dokkyo Medical University
1963, Dokkyo University
1964, Dokuz Eylül Üniversitesi
1965, Dominican College
1966, Dominican School of Philosophy & Theology
1967, Dominican University
1968, Dominican University of California
1969," Dominican University, Ibadan"
1970, Dominion University College
1971, Don Bosco Technical College
1972, Don Honorio Ventura Technological State University
1973, Don Mariano Marcos Memorial State University
1974, Don State Technical University
1975, Don State University of Agriculture
1976, Donau-Universität Krems
1977, Donbas National Academy of Civil Engineering and Architecture
1978, Donbass State Pedagogical University
1979, Donbass State Technical University
1980, Donetsk National Medical University
1981, Donetsk National Technical University
1982, Donetsk National University of Economics and Trade
1983, Donetsk State University of Management
1984, Dong Do International University
1985, Dong Nai University of Technology
1986, Dong-A University
1987, Dongbei University of Finance and Economics
1988, Dongduk Women's University
1989, Dong-Eui University
1990, Dongguan University of Technology
1991, Dongguk University
1992, Donghua University
1993, Dongseo University
1994, Dongshin University
1995, Dongyang University
1996, Donnelly College
1997, Doon University
1998, Dordt University
1999, Dornod University
2000, Doshisha University
2001, Doshisha Women's College of Liberal Arts
2002, Dostoevsky Omsk State University
2003, Dövlet Idareçilik Akademiyasi
2004, DOW University of Health Sciences
2005, DPFA Hochschule Sachsen
2006, Dr K.N. Modi University
2007, Dr. A.P.J Abdul Kalam University
2008, Dr. A.P.J. Abdul Kalam Technical University
2009, Dr. B R Ambedkar National Institute of Technology Jalandhar
2010, Dr. B.R. Ambedkar University
2011, Dr. B.R. Ambedkar University of Social Sciences
2012, Dr. Babasaheb Ambedkar Marathwada University
2013, Dr. Babasaheb Ambedkar Technological University
2014, Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth
2015, Dr. Bhimrao Ambedkar University
2016, Dr. C.V. Raman University
2017, Dr. D.Y. Patil Vidyapeeth
2018, Dr. Hari Singh Gour University
2019, Dr. M.G.R. Educational and Research Institute
2020, Dr. N.T.R. University of Health Sciences
2021, Dr. Panjabrao Deshmukh Krishi Vidyapeeth
2022, Dr. Rajendra Prasad Central Agricultural University
2023, Dr. Ram Manohar Lohia Avadh University
2024, Dr. Ram Manohar Lohiya National Law University
2025, Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University
2026, Dr. Shakuntala Misra National Rehabilitation University
2027, Dr. Vishwanath Karad MIT World Peace University
2028, Dr. Y.S. Parmar University of Horticulture and Forestry
2029, Dr. Y.S.R. Horticultural University
2030, Drake University
2031, Dravidian University
2032, Drew University
2033, Drexel University
2034, Driestar Hogeschool
2035, Drohobych State Pedagogical University
2036, Dronning Mauds Minne Høgskole for barnehagelærerutdanning
2037, Drury University
2038, Državni univerzitet u Novom Pazaru
2039, Duale Hochschule Gera-Eisenach
2040, Dubai Medical College
2041, Dubai Pharmacy College
2042, Dublin City University
2043, Dubna State University
2044, Duhok Polytechnic University
2045, Duke Kunshan University
2046, Duke University
2047, Duksung Women's University
2048," Dún Laoghaire Institute of Art, Design and Technology"
2049, Dunaújvárosi Egyetem
2050, Dundalk Institute of Technology
2051, Dunwoody College of Technology
2052, Dunya University of Afghanistan
2053, Duquesne University
2054, Durban University of Technology
2055, Durham University
2056, Duy Tan University
2057, Düzce Üniversitesi
2058, D'Youville College
2059, Earlham College
2060, East Africa Star University
2061, East African University Rwanda
2062, East Asia Management University
2063, East Carolina University
2064, East Central University
2065, East China Jiaotong University
2066, East China Normal University
2067, East China University of Political Science and Law
2068, East China University of Science and Technology
2069, East China University of Technology
2070, East Delta University
2071, East European University
2072," East European University, Georgia"
2073, East Georgia State College
2074, East Siberia State University of Technology and Management
2075, East Stroudsburg University
2076, East Tennessee State University
2077, East Texas Baptist University
2078, East Timor Coffee Institute
2079, East Timor Institute of Business
2080, East Ukrainian National University
2081, East University of Heilongjiang
2082, East West University
2083, East Yangon University
2084, Eastern Asia University
2085, Eastern Connecticut State University
2086, Eastern Illinois University
2087, Eastern Kentucky University
2088, Eastern Liaoning University
2089, Eastern Mennonite University
2090, Eastern Michigan University
2091, Eastern Nazarene College
2092, Eastern New Mexico University
2093, Eastern Oregon University
2094, Eastern Palm University
2095, Eastern Polytechnic
2096, Eastern Samar State University
2097, Eastern University
2098, Eastern University of Sri Lanka
2099, Eastern University of Technology
2100," Eastern University, Bangladesh"
2101, Eastern Virginia Medical School
2102, Eastern Visayas State University
2103, Eastern Washington University
2104, East-Kazakhstan State Technical University
2105, East-Kazakhstan State University
2106, East-West University
2107, EBC Hochschule Hamburg
2108, Eberhard Karls Universität Tübingen
2109, Ebla Private University
2110, Ebonyi State University
2111, EBS Rahvusvaheline ülikool
2112, EBS Universität für Wirtschaft und Recht
2113, EBZ Business School
2114, ECAM Lyon
2115, ECAM Rennes Louis de Broglie
2116, ECAM Strasbourg-Europe
2117, ECAM-EPMI
2118, Ecclesia College
2119, ECE Paris
2120, Eckerd College
2121, Eckernforde Tanga University
2122, École Centrale Casablanca
2123, École Centrale de Lyon
2124, École Centrale de Marseille
2125, École Centrale de Nantes
2126, École Centrale des Logiciels Libres et des Télécommunications
2127, École Centrale Supérieure Privée de Technologie
2128, École de Biologie Industrielle
2129, École de Commerce de Valence
2130, École de Gestion et de Commerce d'Occitanie
2131, École de Management de Normandie
2132, École de Management du Gabon
2133, École de Management Léonard de Vinci
2134, École de Recherche Graphique
2135, École de Technologie Supérieure
2136, École des Dirigeants et Créateurs d'entreprise
2137, École des Hautes Etudes Commerciales
2138, École des Hautes Études Commerciales de Paris
2139, École des Hautes Études Commerciales du Nord
2140, École des Hautes Études en Santé Publique
2141, École des Hautes Études en Sciences Sociales
2142, École des Ingénieurs de la Ville de Paris
2143, École des Métiers de l'Environnement
2144, École des Mines et de la Métallurgie de Moanda
2145, École des Ponts ParisTech
2146, École d'ingénieur généraliste en informatique et technologies du numérique
2147, École d'Ingénieurs de Purpan
2148, École d'Ingénieurs Généralistes La Rochelle
2149, École d'ingénieurs SIGMA Clermont
2150, École Européenne de Management
2151, École Internationale des Sciences du Traitement de l'Information
2152, École Internationale Supérieure Privée de Droit et des Affaires
2153, École Nationale d'Administration
2154, École Nationale d'Administration de Côte d'Ivoire
2155, École Nationale d'Administration Moulay Ahmed Medeghri
2156, École Nationale d'Administration Publique
2157," École Nationale d'Administration, Burundi"
2158," École Nationale d'Administration, de Journalisme et de Magistrature"
2159," École Nationale d'Administration, Tchad"
2160, École Nationale d'Agriculture de Meknes
2161, École Nationale d'Architecture
2162, École Nationale de la Météorologie
2163, École Nationale de la Statistique et de l'Analyse de l'information
2164, École Nationale de l'Aviation Civile
2165, École Nationale des Eaux et Forêts
2166, École Nationale des Sciences Géographiques
2167, École Nationale des Travaux Publics de l'État
2168, École Nationale d'Ingénieurs Abderhame Baba Touré
2169, École Nationale d'Ingénieurs de Brest
2170, École Nationale d'Ingénieurs de Saint-Étienne
2171, École Nationale d'Ingénieurs de Tarbes
2172, École Nationale Polytechnique
2173, École Nationale Polytechnique de Constantine
2174, École Nationale Polytechnique d'Oran
2175, École Nationale Supérieure Agronomique
2176, École Nationale Supérieure Agronomique de Toulouse
2177, École Nationale Supérieure d'Architecture de Nancy
2178, École Nationale Supérieure de Biotechnologie
2179, École Nationale Supérieure de Chimie de Lille
2180, École Nationale Supérieure de Chimie de Montpellier
2181, École Nationale Supérieure de Chimie de Paris
2182, École Nationale Supérieure de Chimie de Rennes
2183, École Nationale Supérieure de Journalisme et des Sciences de l'Information
2184, École Nationale Supérieure de l'Administration
2185, École Nationale Supérieure de l'Électronique et de ses Applications
2186, École Nationale Supérieure de Management
2187, École Nationale Supérieure de Mécanique et d'Aérotechnique
2188, École Nationale Supérieure de Mécanique et des Microtechniques
2189, École Nationale Supérieure de Sciences Politiques
2190, École Nationale Supérieure de Statistique et d'Economie Appliquée
2191, École Nationale Supérieure de Techniques Avancées Bretagne
2192, École Nationale Supérieure de Technologie
2193, École Nationale Supérieure des Arts et Industries Textiles
2194, École Nationale Supérieure des Arts Visuels de La Cambre
2195, École Nationale Supérieure des Mines de St-Etienne
2196, École Nationale Supérieure des Mines et de la Métallurgie
2197, École Nationale Supérieure des Sciences Agronomiques
2198, École Nationale Supérieure des Sciences de la Mer et de l'Aménagement du Littoral
2199, École Nationale Supérieure des Sciences de l'Information et des Bibliothèques
2200, École Nationale Supérieure des Travaux Publics
2201, École Nationale Supérieure d'Hydraulique
2202, École Nationale Supérieure d'Informatique
2203, École Nationale Supérieure d'Informatique pour l'Industrie et l'Entreprise
2204, École Nationale Supérieure d'Ingénieurs de Caen
2205, École Nationale Supérieure en Statistique et en Economie Appliquée
2206, École Nationale supérieure Mines-Télécom Lille-Douai
2207, École Nationale Supérieure Vétérinaire d'Alger
2208, École Nationale Vétérinaire d'Alfort
2209, École Nationale Vétérinaire de Toulouse
2210," École Nationale Vétérinaire, Agroalimentaire et de l'alimentation de Nantes-Atlantique"
2211, École Normale d'Enseignement Technique et Professionnel
2212, École Normale Supérieure
2213, École Normale Supérieure d’Oran
2214, École Normale Supérieure d'Abidjan
2215, École Normale Supérieure de Bamako
2216, École Normale Supérieure de Béchar
2217, École Normale Supérieure de Bou Saâda
2218, École Normale Supérieure de Bouzaréah
2219, École Normale Supérieure de Bujumbura
2220, École Normale Supérieure de Constantine
2221, École Normale Supérieure de Kouba
2222, École Normale Supérieure de Laghouat
2223, École Normale Supérieure de l'Enseignement Technique
2224, École Normale Supérieure de Libreville
2225, École Normale Supérieure de Lyon
2226, École Normale Supérieure de Ouargla
2227, École Normale Supérieure de Rennes
2228, École Normale Supérieure de Sétif
2229, École Normale Supérieure d'Enseignement Technologique de Skikda
2230, École Normale Supérieure Paris-Saclay
2231, École Polytechnique
2232, École Polytechnique de Montréal
2233, École polytechnique de Thiès
2234, École Polytechnique Fédérale de Lausanne
2235, École Polytechnique Internationale Privée de Tunis
2236, École Polytehnique d'Architecture et d'Urbanisme
2237, École pour l'Informatique et les Techniques Avancées
2238, École Royale d'Administration
2239," École Spéciale des Travaux Publics, du Bâtiment et de l'Industrie"
2240, École Supérieur en Génie Electrique et Energétique d'Oran
2241, École Supérieure Africaine des Technologies de l'Information et de la Communication
2242, École Supérieure d’Architecture de Casablanca
2243," École Supérieure d'Administration, d'Economie, de Journalisme et des Métiers de l'Audiovisuel"
2244, École Supérieure d'Agriculture d'Angers
2245, École Supérieure d'Agro-développement International
2246, École Supérieure de Chimie Organique et Minérale
2247, École Supérieure de Chimie Physique Électronique de Lyon
2248, École Supérieure de Commerce
2249, École Supérieure de Commerce d'Amiens
2250, École Supérieure de Commerce de Dakar
2251, École Supérieure de Commerce de Dijon-Bourgogne
2252, École Superieure de Commerce de Marrakech
2253, École Supérieure de Commerce de Pau
2254, École Supérieure de Commerce et de Développement 3A
2255, École Supérieure de Commerce et de Management
2256, École Supérieure de Comptabilité et de Finances de Constantine
2257, École Supérieure de Fonderie et de Forge
2258, École Supérieure de Génie Civil Verechaguine AK
2259, École Supérieure de Génie Telecoms et TIC
2260, École Supérieure de Génies
2261, École Supérieure de Gestion et d'Expertise Comptable
2262," École Supérieure de Gestion, d'Informatique et des Sciences"
2263, École Supérieure de la Magistrature
2264, École Supérieure de la Mer
2265, École Supérieure de Management Benin
2266, École Supérieure de Management de Tlemcen
2267, École supérieure de physique et de chimie industrielles de la Ville de Paris
2268, École Supérieure de Technologies Industrielles d’Annaba
2269, École Supérieure de Télécommunication d'Informatique et de Management
2270, École Supérieure d'Economie d'Oran
2271," École Supérieure d'Electricité, du Bâtiment et des Travaux Publics"
2272, École Supérieure d'Électronique de l'Ouest
2273, École Supérieure des Affaires
2274, École Supérieure des Arts de la Ville de Liège
2275, École Supérieure des Arts Saint-Luc de Liège
2276, École Supérieure des Métiers des Énergies Renouvelables
2277, École Supérieure des Sciences Appliquées d'Alger
2278, École Supérieure des Sciences de Gestion de Annaba
2279, École Supérieure des Sciences de l'Aliment et Industries Agroalimentaires
2280, École Supérieure des Sciences Économiques et Commerciales
2281, École Supérieure des Techniques Aéronautiques et de Construction Automobile
2282, École supérieure des technologies et des affaires de Belfort
2283, École Supérieure des Technologies Industrielles Avancées
2284," École Supérieure d'Informatique, Électronique, Automatique"
2285, École Supérieure d'Ingénieurs des Travaux de la Construction de Caen
2286, École Supérieure d'Ingénieurs des Travaux de la Construction de Metz
2287, École Supérieure d'Ingénieurs des Travaux de la Construction de Paris
2288, École Supérieure d'Ingénieurs en Génie Électrique
2289, École Supérieure d'Ingénieurs Léonard de Vinci
2290, École Superieure d'Ingénieurs Privée de Gafsa
2291, École Supérieure du Bâtiment
2292, École Supérieure du Bois
2293, École Supérieure du Commerce Extérieur
2294, École Supérieure en Informatique
2295," École Supérieure en Ingénierie de l'Information, Télécoms, Management et Génie Civil"
2296, École Supérieure en Sciences Appliquées de Tlemcen
2297, École Supérieure en Sciences Biologiques d'Oran
2298, École Supérieure Jean Michel le FAUCON
2299, École Supérieure Polytechnique Internationale Privée de Sfax
2300, École Supérieure Polytechnique Privée de Monastir
2301, École Supérieure Polytechnique Privée de Sousse
2302, École Supérieure Privée d'Administration des Affaires et de Droit Avicenne
2303," École Supérieure Privée d'Architecture, d'Audiovisuel et de Design"
2304, École Supérieure Privée d'Assurance et de Finance
2305, École Supérieure Privée de l'Aéronautique et des Technologies
2306, École Supérieure Privée de Technologie et de Management
2307, École Supérieure Privée des Etudes Administratives et Commerciales
2308, École Supérieure Privée des Technologies de l'Information et de Management de Nabeul
2309, École Supérieure Privée des Technologies d'Informatique et de Management
2310, École Supérieure Privée des Technologies et Ingénierie
2311, École Supérieure Privée d'Informatique et d’Administration des Affaires
2312, École Supérieure Privée d'Ingénierie et de Technologie
2313, École Supérieure Privée d'Ingénierie et de Technologie Appliquée
2314, École Supérieure Privée d'Ingénieurs de Monastir
2315, École Supérieure Sainte Félicité
2316, Economics and Finance Institute
2317, ECPI University
2318, Eden University
2319, Edge Hill University
2320, Edgewood College
2321, Edinboro University of Pennsylvania
2322, Edinburgh Napier University
2323, Edith Cowan University
2324, Edo University
2325, Edogawa University
2326, EDP University
2327, Edrak Institute of Higher Education
2328, Edutus Egyetem
2329, Edward Bernays Visoka škola za komunikacijski menadžment
2330, Edward Waters College
2331, Edwin Clark University
2332, EELK Usuteaduse Instituut
2333, Eesti Ettevõtluskõrgkool Mainor
2334, Eesti Kunstiakadeemia
2335, Eesti Lennuakadeemia
2336, Eesti Maaülikool
2337, Eesti Muusika- ja Teatriakadeemia
2338, Effat University
2339, Ege Üniversitesi
2340, Egerton University
2341, Egyptian Chinese University
2342, Egyptian Russian University
2343, Egypt-Japan University of Science and Technology
2344, Ehime Prefectural University of Health Sciences
2345, Ehime University
2346, Eidgenössische Technische Hochschule Zürich
2347, EIILM University
2348," Ekiti State University, Ado Ekiti"
2349, Eko University of Medical and Health Sciences
2350, Ekonomická univerzita v Bratislave
2351, Ekonomikas un kulturas augstskola
2352, El Colegio de Chihuahua
2353, El Colegio de México
2354, El Colegio de Sonora
2355, El Colegio Mexiquense A.C.
2356, Eldaein University
2357, Elisabeth University of Music
2358," Elite- Escuela Latinoamericana de Ingenieros, Tecnologos y Empresarios"
2359, Elizabeth City State University
2360, Elizabethtown College
2361, Elizade University
2362, Elmergib University
2363, Elmhurst College
2364, Elmira College
2365, Elon University
2366, Elrazi University
2367, Elsheikh Abdallah Elbadri University
2368, Embry-Riddle Aeronautical University
2369, Emerson College
2370, Emilio Aguinaldo College
2371, Emily Carr University of Art and Design
2372, Emirates Aviation University
2373, Emirates College for Advanced Education
2374, Emirates College of Technology
2375, Emirates Institute for Banking and Financial Studies
2376, Emirates International University
2377, EMLYON Business School
2378, Emmanuel College
2379," Emmanuel College, Georgia"
2380, Emmaus Bible College
2381, Emory & Henry College
2382, Emory University
2383, eMPIRICA
2384, Emporia State University
2385, Endicott College
2386, Enerel Medical Institute
2387, Engineering Higher Education Complex of Esfarayen
2388, ENSAE ParisTech
2389, ENSTA ParisTech
2390, Ensup Afrique
2391, Enugu State University of Science and Technology
2392, Eötvös József Foiskola
2393, Eötvös Loránd Tudományegyetem
2394, EPF École d'Ingénieurs
2395, EPI Sousse
2396, Era University
2397, Erasmus Universiteit Rotterdam
2398, Erasmushogeschool Brussel
2399, Erbil Polytechnic University
2400, Erciyes Üniversitesi
2401, Erhvervsakademi Aarhus
2402, Erhvervsakademi Dania
2403, Erhvervsakademi Midtvest
2404, Erhvervsakademi Sjælland
2405, Erhvervsakademi SydVest
2406, Erhvervsakademiet Copenhagen Business
2407, Eritrea Institute of Technology
2408, Ernest Bai Koroma University of Science and Technology
2409, Ernst-Abbe-Hochschule Jena
2410, Ernst-Moritz-Arndt-Universität Greifswald
2411, Erskine College
2412, Ersta Sköndal Bräcke högskola
2413, Erzincan Binali Yildirim Üniversitesi
2414, Erzurum Teknik Üniversitesi
2415, ESAIP École d'Ingénieurs
2416, ESCA École de Management
2417, Escola Superior Artística do Porto
2418, Escola Superior de Artes e Design
2419, Escola Superior de Atividades Imobiliárias
2420, Escola Superior de Educação Almeida Garrett
2421, Escola Superior de Educação de João de Deus
2422, Escola Superior de Educação de Paula Frassinetti
2423, Escola Superior de Educadores de Infância Maria Ulrich
2424, Escola Superior de Enfermagem Cruz Vermelha Portuguesa
2425, Escola Superior de Enfermagem de Coimbra
2426, Escola Superior de Enfermagem de Lisboa
2427, Escola Superior de Enfermagem de São José de Cluny
2428, Escola Superior de Enfermagem do Porto
2429, Escola Superior de Enfermagem São Francisco das Misericórdias
2430, Escola Superior de Hotelaria e Turismo do Estoril
2431, Escola Superior de Negócios Atlântico
2432, Escola Superior de Saúde da Cruz Vermelha Portuguesa
2433, Escola Superior de Saúde de Santa Maria
2434, Escola Superior de Saúde do Alcoitão
2435, Escola Superior de Saúde Egas Moniz
2436, Escola Superior de Saúde Norte da Cruz Vermelha Portuguesa
2437, Escola Superior de Tecnologias e Artes de Lisboa
2438, Escola Superior Gallaecia
2439, Escola Superior Náutica Infante D. Henrique
2440, Escola Universitária Vasco da Gama
2441, ESCP Business School
2442," Escuela Agrícola Panamericana, Zamorano"
2443, Escuela Bancaria y Comercial
2444, Escuela Colombiana de Ingenieria Julio Garavito
2445, Escuela de Artes Plasticas y Diseno de Puerto Rico
2446, Escuela de Comunicación Mónica Herrera
2447, Escuela de Ingeniería de Antioquia
2448, Escuela Especializada en Ingeniería ITCA-FEPADE
2449, Escuela Latinoamericana de Medicina
2450, Escuela Militar de Ingeniería
2451, Escuela Nacional de la Judicatura
2452, Escuela Nacional del Deporte
2453, Escuela Politécnica Nacional
2454, Escuela Superior de Economía y Negocios
2455, Escuela Superior Franciscana Especializada AGAPE
2456, Escuela Superior Politecnica Agropecuaria de Manabi
2457, Escuela Superior Politecnica de Chimborazo
2458, Escuela Superior Politécnica del Litoral
2459, Escuela Superiore de Administración Pública
2460, Escuela Tecnologica Instituto Tecnico Central
2461, Esep Le Berger
2462, ESF College of Women's Society in Ramallah
2463, Eshrag Institute of Higher Education
2464, ESIEE Paris
2465, Eskisehir Osmangazi Üniversitesi
2466, ESME Sudria
2467, ESMT Berlin
2468, ESSCA School of Management
2469, Esteghlal Institute of Higher Education
2470, Estiqamat Higher Education Institute
2471, Eswatini College of Technology
2472, Esztergomi Hittudományi Fõiskola
2473, Eszterházy Károly Egyetem
2474, Eternal University
2475, Ethiopian Civil Service University
2476, Etugen University
2477, Eulji University
2478," Eulogio ""Amang"" Rodriguez Institute of Science and Technology"
2479, Eurasia International University
2480, Eurasian Academy of Law after D.A. Kunaev
2481, Eurasian Institute for the Humanities
2482, Eurasian Technological University
2483, Eurecom
2484, Eureka College
2485, Euroakadeemia
2486, Europäische Fachhochschule
2487, Europäische Fernhochschule Hamburg
2488, Europa-Universität Flensburg
2489, Europa-Universität Viadrina Frankfurt (Oder)
2490, European Higher School of Economics and Management
2491, European International College
2492, European Polytechnical University
2493, European School of Economics
2494, European University
2495, European University
2496, European University
2497, European University
2498, European University at St. Petersburg
2499, European University College
2500, European University Cyprus
2501, European University of Bangladesh
2502, Europos Humanitarinis Universitetas
2503, Europska poslovna škola Zagreb
2504, Evangel University
2505," Evangel University, Akaeze"
2506, Evangelical Presbyterian University College
2507, Evangelical University
2508, Evangelische Hochschule Berlin
2509, Evangelische Hochschule Darmstadt
2510, Evangelische Hochschule Dresden
2511, Evangelische Hochschule Freiburg
2512, Evangelische Hochschule für Kirchenmusik
2513, Evangelische Hochschule für Soziale Arbeit und Diakonie
2514, Evangelische Hochschule Ludwigsburg
2515, Evangelische Hochschule Nürnberg
2516, Evangelische Hochschule Rheinland-Westfalen-Lippe
2517, Evangelische Theologische Faculteit
2518, Everglades University
2519, Evropska pravna fakulteta
2520, Evropski Univerzitet
2521, Evropski univerzitet Brcko distrikt
2522, Evropski univerzitet Kallos Tuzla
2523, Evropský polytechnický institut
2524, Ewha Womans University
2525, Exim Bank Agricultural University of Bangladesh
2526, Exploits University
2527, Fachhochschule Aachen
2528, Fachhochschule Bielefeld
2529, Fachhochschule Burgenland
2530, Fachhochschule Campus Wien
2531, Fachhochschule der Diakonie
2532, Fachhochschule der Wirtschaft
2533, Fachhochschule des bfi Wien
2534, Fachhochschule des Mittelstands
2535, Fachhochschule Dortmund
2536, Fachhochschule Dresden
2537, Fachhochschule Erfurt
2538, Fachhochschule für die Wirtschaft Hannover
2539, Fachhochschule für Finanzen NRW
2540, Fachhochschule für Rechtspflege Nordrhein-Westfalen
2541, Fachhochschule für Sport und Management Potsdam
2542, Fachhochschule Kärnten
2543, Fachhochschule Kiel
2544, Fachhochschule Kufstein Tirol
2545, Fachhochschule Lübeck
2546, Fachhochschule Münster
2547, Fachhochschule Nordwestschweiz
2548, Fachhochschule Ostschweiz
2549, Fachhochschule Potsdam
2550, Fachhochschule Salzburg
2551, Fachhochschule St. Pölten
2552, Fachhochschule Südwestfalen
2553, Fachhochschule Vorarlberg
2554, Fachhochschule Wedel
2555, Fachhochschule Westküste
2556, Fachhochschule Wiener Neustadt
2557, Facultad de Teología del Uruguay Mons. Mariano Soler
2558, Facultad Latinoamericana de Ciencias Sociales
2559," Facultad Latinoamericana de Ciencias Sociales, Ecuador"
2560, Faculté des Sciences de la Santés
2561, Faculté Privée de Management et des Sciences de l’Administration de Sousse
2562, Faculté Privée des Sciences Paramédicales de Sfax
2563, Fahad Bin Sultan University
2564, Fairfield University
2565, Fairleigh Dickinson University
2566, Fairmont State University
2567, Faith Baptist Bible College and Theological Seminary
2568, Fakir Mohan University
2569, Fakulteta za državne in evropske študije
2570, Fakulteta za komercialne in poslovne vede
2571, Fakulteta za medije
2572, Fakulteta za pravo in poslovne vede
2573, Fakulteta za psihoterapevtsko znanost Univerze Sigmunda Freuda v Ljubljani
2574, Fakulteta za tehnologijo polimerov
2575, Fakulteta za uporabne družbene študije v Novi Gorici
2576, Fakulteta za zdravstvo Angele Boškin
2577, Falmouth University
2578, Fanoos Institute of Higher Education
2579, Far East State Agrarian University
2580, Far East University
2581," Far East University, Korea"
2582, Far Eastern Federal University
2583, Far Eastern State Medical University
2584, Far Eastern State Technical Fisheries University
2585, Far Eastern State Transport University
2586, Far Eastern University
2587, Far Western University
2588, Fareast International University
2589, Farg'ona Davlat Universiteti
2590, Farg'ona Politexnika Instituti
2591, Farmingdale State College
2592, Faryab University
2593, Farzanegan Semnan University
2594, Fasa University
2595, Fasa University of Medical Sciences
2596, Fashion Institute of Technology
2597, FATA University
2598, Father Saturnino Urios University
2599, Fatih Sultan Mehmet Vakif Üniversitesi
2600, Fatima College of Health Sciences
2601, Fatima Jinnah Medical University
2602, Fatima Jinnah Women University
2603, Fatoni University
2604, Faulkner University
2605, Fayetteville State University
2606, Fayoum University
2607, FEATI University
2608," Federal University of Agriculture, Abeokuta"
2609, Federal University of Petroleum Resources
2610," Federal University of Technology, Akure"
2611," Federal University of Technology, Minna"
2612," Federal University of Technology, Owerri"
2613," Federal University, Birnin Kebbi"
2614," Federal University, Dutse"
2615," Federal University, Dutsin-Ma"
2616," Federal University, Gashua"
2617," Federal University, Gusau"
2618," Federal University, Kashere"
2619," Federal University, Lafia"
2620," Federal University, Lokoja"
2621," Federal University, Otuoke"
2622," Federal University, Oye-Ekiti"
2623," Federal University, Wukari"
2624," Federal Urdu University of Arts, Sciences and Technology"
2625, Federation University Australia
2626, Felician University
2627, Fenerbahçe Üniversitesi
2628, Feng Chia University
2629, Feni University
2630, Ferdinand Porsche FernFH
2631, Ferdowsi University of Mashhad
2632, FernUniversität in Hagen
2633, Ferris State University
2634, Ferris University
2635, Ferrum College
2636, FEU Institute of Technology
2637, Fezzan University
2638, FH Gesundheitsberufe OÖ
2639, FH Joanneum
2640, FH Oberösterreich
2641, FH Technikum Wien
2642, FHG - Zentrum für Gesundheitsberufe Tirol
2643, FHWien der WKW
2644, Fielding Graduate University
2645, Fiji National University
2646, Filamer Christian University
2647, Filmová akademie Miroslava Ondrícka v Písku
2648, Filmuniversität Babelsberg Konrad Wolf
2649, Finance Academy under the Government of the Russian Federation
2650, Financial Academy
2651, Finlandia University
2652, Firat Üniversitesi
2653, First Capital University of Bangladesh
2654, First Nations University of Canada
2655, Fisher College
2656, Fisk University
2657, Fitchburg State University
2658, Five Towns College
2659, Flagler College
2660, Flame University
2661, Fliedner Fachhochschule Düsseldorf
2662, Flinders University
2663, Florida Agricultural and Mechanical University
2664, Florida Atlantic University
2665, Florida College
2666, Florida Gateway College
2667, Florida Gulf Coast University
2668, Florida Institute of Technology
2669, Florida International University
2670, Florida Memorial University
2671, Florida National University
2672, Florida Southern College
2673, Florida SouthWestern State College
2674, Florida State College at Jacksonville
2675, Florida State University
2676, Florida State University Panama City
2677, Fo Guang University
2678, Folkwang Universität der Künste
2679, FOM Hochschule für Oekonomie und Management
2680, FON Univerzitet
2681, Fontbonne University
2682, Fontys Hogescholen
2683, Fooyin University
2684, Fordham University
2685, Foreign Trade University
2686, Forest Research Institute
2687, Forman Christian College
2688, Fort Hays State University
2689, Fort Lewis College
2690, Fort Valley State University
2691, Fortune Institute of Technology
2692, Foshan University
2693, Foundation University Islamabad
2694," Fountain University, Osogbo"
2695, FPT University
2696, Framingham State University
2697, Francis Marion University
2698, Franciscan Missionaries of Our Lady University
2699, Franciscan University of Steubenville
2700, Frankfurt School of Finance and Management
